"Year","Month","CPC","HS Code","HS Description","Destination","Quantity","Sup. Unit","Gross Wt. (Kg)","Net.Wt. (Kg)","FOB Value (ETB)","FOB Value (USD)"
"2018","01","1000 100","07020000","Tomatoes fresh or chilled","Djibouti","","","1070438.0","879162.0","4429553.83","161136.209461795"
"2018","01","1000 101","63041900","--other","Italy","110377.0","M2","39569.0","38414.0","4410198.3","160432.103166664"
"2018","01","1000 100","07133300","Dried kidney beans, incl. white pea beans, shelled","Italy","","","208435.2","208000.0","4306667.13","156665.895341858"
"2018","01","1000 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Netherlands","","","38912.0","38400.0","4211929.96","153219.591480383"
"2018","01","3052 505","64039900","--Other","United States","9249.0","2UN","6666.0","3383.0","4186419.95","152291.600429255"
"2018","01","1000 100","15219020","---Bee Wax","United States","","","17600.0","17500.0","4184393.32","152217.876643809"
"2018","01","1000 100","07133300","Dried kidney beans, incl. white pea beans, shelled","Iran, Islamic Republic of","","","168576.0","168000.0","4169850.04","151688.828098001"
"2018","01","1071 100","07051100","Cabbage lettuce, fresh or chilled","Somalia","","","739671.0","731623.0","4080975.03","148455.775114134"
"2018","01","3052 505","41120000","LEATHER PREPARED AFTER TANNING/CRUSTING INCLU.PARCHMENT DRESSED LEATHER..","Viet Nam","","","3810.44","3687.14","3995362.0","145341.384892413"
"2018","01","3052 505","52094200","--Denim","Kenya","","","48151.0","47538.0","3941464.99","143380.745011732"
"2018","01","1000 100","09024000","BLACK TEA FERMENTED/PARTLY FERMENTED,FLAVOURED OR NOT,IN PACKINGS OF >=3KG","United Kingdom","","","56950.0","56200.0","3892351.52","141594.118481602"
"2018","01","3052 505","64029900","--Other","Canada","12683.0","2UN","10894.0","5774.0","3869569.84","140765.377325888"
"2018","01","3052 505","61091000","-T-SHIRTS, SINGLETS AND OTHER VESTS, OF COTTON, KNITTED OR CROCHETED","United Kingdom","86842.0","UN","15887.5","14862.5","3866060.95","140637.732588807"
"2018","01","1000 100","07129090","---Other vegetables","France","","","5336.7","4366.43","3841191.67","139733.049709889"
"2018","01","1000 101","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Spain","","","38880.0","38400.0","3840051.96","139691.589879772"
"2018","01","1000 100","07133300","Dried kidney beans, incl. white pea beans, shelled","Djibouti","","","251445.0","248732.0","3829737.16","139316.362974954"
"2018","01","1000 100","02021000","Frozen bovine carcasses and half carcasses","Bahrain","","","36041.0","36041.0","3814581.18","138765.025918987"
"2018","01","3052 505","61069000","-WOMEN'S OR GIRLS' BLOUSES ETC. OF OTHER TEXTILES NES, KNITTED OR CROCHETED","Germany","69379.0","UN","15131.28","9433.05","3755601.15","136619.478346278"
"2018","01","3052 505","41120000","LEATHER PREPARED AFTER TANNING/CRUSTING INCLU.PARCHMENT DRESSED LEATHER..","Hong Kong","","","3545.0","3301.0","3730872.21","135719.900689354"
"2018","01","1000 100","07133300","Dried kidney beans, incl. white pea beans, shelled","Romania","","","192384.0","192000.0","3693642.96","134365.592680842"
"2018","01","1000 100","85232900","-- Other magnetic media","Hong Kong","7.0","UN","1.0","1.0","3639409.27","132392.705214718"
"2018","01","1000 100","09103000","Turmeric (curcuma)","India","","","128256.0","128000.0","3616536.14","131560.637334255"
"2018","01","1000 100","12019000","-OTHER","Turkey","","","308616.0","308000.0","3597616.33","130872.381454737"
"2018","01","1000 100","09093100","--NEITHER CRUSHED NOR GROUND","Saudi Arabia","","","87289.7","87080.0","3592056.85","130670.141326688"
"2018","01","3052 505","25232900","--other","Somalia","","","2491540.0","2482376.0","3587062.02","130488.441768675"
"2018","01","1000 100","12074010","---STERALIZED","Israel","","","76608.0","76000.0","3582225.45","130312.499317921"
"2018","01","1071 100","06021000","UNROOTED CUTTINGS AND SLIPS","Spain","2130600.0","UN","8944.0","6712.0","3576973.66","130121.452190837"
"2018","01","3052 505","52094200","--Denim","Madagascar","","","50262.0","49705.0","3568200.49","129802.305971371"
"2018","01","1000 100","07011000","Seed potatoes","Djibouti","","","597300.0","585364.0","3539401.2","128754.659051638"
"2018","01","1000 100","15219020","---Bee Wax","Germany","","","16200.0","16000.0","3517913.6","127972.993324724"
"2018","01","3052 505","61091000","-T-SHIRTS, SINGLETS AND OTHER VESTS, OF COTTON, KNITTED OR CROCHETED","Germany","76000.0","UN","8726.38","7706.56","3465726.0","126074.537550701"
"2018","01","1071 100","20089900","--Other fruit, etc, prepared or preserved, nes","United Arab Emirates","","","4997.78","2548.26","3422837.68","124514.366576329"
"2018","01","1000 100","02042100","Fresh or chilled sheep carcasses and half carcasses (excl. lamb)","United Arab Emirates","","","24712.5","24132.6","3405272.38","123875.384419506"
"2018","01","1000 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Taiwan, Province of China","","","32413.37","31990.0","3350353.52","121877.572163917"
"2018","01","1000 100","07129090","---Other vegetables","Kenya","","","4089.8","3476.33","3344093.85","121649.860855963"
"2018","01","1000 100","12074090","--OTHER","Pakistan","","","95190.0","95000.0","3342528.64","121592.922388548"
"2018","01","1000 100","12074090","--OTHER","Lebanon","","","76243.2","76000.0","3341519.36","121556.207279143"
"2018","01","1000 100","05100090","--- OTHER AMBERGIS , CASTOREN ,CIVET AND MUSK;CANTHARIDES;BILE ...GLANDS","Korea, Republic of","","","262.0","180.0","3315040.74","120592.98059259"
"2018","01","1000 100","25232900","--other","Kenya","","","1201920.0","1200000.0","3298130.0","119977.809709162"
"2018","01","1071 100","44072900","--OTHER","Sudan","3650.0","M3","1277500.0","1277500.0","3278330.05","119257.536513942"
"2018","01","1000 100","17039000","Molasses resulting from the extraction or refining of sugar (excl. cane)","Viet Nam","","","120240.0","120000.0","3132013.2","113934.891504029"
"2018","01","1071 100","06031100","--Roses","Japan","","","29016.0","25534.06","3106193.9","112995.649247895"
"2018","01","1000 101","13019000","NATURAL GUMS,RESINS,GUM-RESINS,NATURAL OLEOR'INS/BALSAMS (EXCL. GUMARABIC)","Germany","","","15120.0","15000.0","3064432.55","111476.474653959"
"2018","01","1000 100","62042900","--WOMEN'S OR GIRLS' ENSEMBLES OF OTHER TEXTILES, NES","United States","2721.0","UN","412.0","379.0","3041035.43","110625.345313665"
"2018","01","1000 100","09024000","BLACK TEA FERMENTED/PARTLY FERMENTED,FLAVOURED OR NOT,IN PACKINGS OF >=3KG","Kenya","","","66604.0","65900.0","3018166.11","109793.416031576"
"2018","01","3052 505","61023000","-WOMAN'S OR GIRLS' COATS, ETC, OF MAN-MADE FIBRES, KNITTED OR CROCHETED","United States","11408.0","UN","7740.3","6910.38","3006791.53","109379.636952291"
"2018","01","1000 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Jordan","","","36510.0","36000.0","2968693.2","107993.713963513"
"2018","01","1000 100","52010000","Cotton, not carded or combed.","Italy","","","77520.0","76638.8","2925298.61","106415.126139071"
"2018","01","1000 100","12079990","--OTHER","United Kingdom","","","152478.8","152000.0","2898739.65","105448.976882082"
"2018","01","1000 100","12119000","Other plants or parts, of a kind used in perfumery, pharmacy...etc, nes","Netherlands","","","32650.2","20960.0","2880333.84","104779.41905091"
